ip,d1,d2,d3,d4,d5,d6,screenWidth,screenHeight,innerWidth,innerHeight,colorDepth,pixelDepth,instructionsTime,blockID,pause,trialID,RT,response,wascorrect,tPresent,tSize,tColor,tOrientation,tLocation
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,17,2710,right,true,false,1,#D73138,90,s21,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,18,609,left,true,true,1,#D73138,90,s14,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,19,635,left,true,true,1,#D73138,90,s1,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,20,1211,right,false,true,1,#0084BA,0,s6,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,21,721,right,false,true,1,#0084BA,0,s5,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,22,1986,right,true,false,1,#0084BA,0,s5,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,23,1159,right,false,true,1,#0084BA,0,s2,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,24,2048,right,true,false,1,#0084BA,0,s2,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,25,1061,right,false,true,1,#0084BA,0,s9,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,26,708,right,true,false,1,#0084BA,0,s9,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,27,835,left,true,true,1,#0084BA,0,s13,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,28,1034,right,true,false,1,#0084BA,0,s13,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,29,2285,left,true,true,1,#D73138,90,s5,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,30,971,left,true,true,1,#D73138,90,s15,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,31,1134,right,true,false,1,#D73138,90,s15,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,32,1385,right,true,false,1,#D73138,90,s15,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,33,1985,right,true,false,1,#D73138,90,s15,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,34,647,left,true,true,1,#D73138,90,s5,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,35,684,left,true,true,1,#D73138,90,s25,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,36,1398,right,false,true,1,#0084BA,0,s21,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,37,1671,right,true,false,1,#0084BA,0,s21,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,38,1998,left,true,true,1,#0084BA,0,s20,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,39,1621,left,false,false,1,#0084BA,0,s20,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,40,1772,right,true,false,1,#0084BA,0,s20,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,41,1722,left,true,true,1,#0084BA,0,s17,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,42,2759,left,true,true,1,#0084BA,0,s20,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,43,1334,left,true,true,1,#0084BA,0,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,44,1285,right,true,false,1,#0084BA,0,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,45,3046,right,false,true,1,#0084BA,0,s11,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,46,3059,left,true,true,1,#0084BA,0,s1,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,47,1786,left,true,true,1,#0084BA,0,s3,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,48,1784,right,false,true,1,#0084BA,0,s8,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,2,1,49,2483,right,true,false,1,#0084BA,0,s8,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,50,1607,right,true,false,1,#0084BA,0,s8,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,51,622,left,true,true,1,#D73138,90,s15,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,52,1785,left,true,true,1,#D73138,90,s4,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,53,1077,right,true,false,1,#D73138,90,s4,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,54,1371,right,true,false,1,#D73138,90,s4,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,55,1201,right,false,true,1,#0084BA,0,s17,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,56,2322,left,true,true,1,#0084BA,0,s15,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,57,1035,right,true,false,1,#0084BA,0,s15,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,58,984,right,false,true,1,#0084BA,0,s10,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,59,834,right,false,true,1,#0084BA,0,s14,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,60,824,left,true,true,1,#D73138,90,s16,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,3,2,61,2473,right,true,false,1,#D73138,90,s16,B
